compound,conc_M,real_effect,vehicle,effect_floor,delta,class,class_raw,class_absolute_floor,q_value,necessary_level,necessary_level_verdict,non_monotone,p_sign,p_sign_wm,p_weight,p_degree,p_ER,q_weight,q_degree,verdict_weight,verdict_degree
caffeine,1e-06,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
caffeine,1e-05,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
chlordimeform,1e-08,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
chlordimeform,1e-07,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
chlordimeform,1e-06,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
chlordimeform,1e-05,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
chlorpyrifos_oxon,1e-08,113.02014979865878,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.006644518272425249,0.09302325581395349,0.34219269102990035,0.0033222591362126247,0.0033222591362126247,0.4106312292358804,0.006489994591671174,indeterminate,distinguishable
chlorpyrifos_oxon,1e-07,-9.400518990661134,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.1362126245847176,0.9900332225913622,0.11295681063122924,0.0033222591362126247,0.0033222591362126247,0.1757105943152455,0.006489994591671174,indeterminate,distinguishable
chlorpyrifos_oxon,1e-06,-11.274548756961796,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.07641196013289037,0.9235880398671097,0.07973421926910298,0.0033222591362126247,0.0033222591362126247,0.12637121544537078,0.006489994591671174,indeterminate,distinguishable
chlorpyrifos_oxon,1e-05,-11.265710474999171,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.07641196013289037,0.9235880398671097,0.07973421926910298,0.0033222591362126247,0.0033222591362126247,0.12637121544537078,0.006489994591671174,indeterminate,distinguishable
clothianidin,1e-08,0.23703647392069982,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.9069767441860465,0.6810631229235881,0.2857142857142857,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
clothianidin,1e-07,-9.966794607205912,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.11627906976744186,0.9601328903654485,0.09966777408637874,0.0033222591362126247,0.0033222591362126247,0.15648772006085634,0.006489994591671174,indeterminate,distinguishable
clothianidin,1e-06,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
clothianidin,1e-05,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
ddt,1e-08,0.006558808143186212,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.6112956810631229,0.7574750830564784,0.30564784053156147,0.0033222591362126247,0.0033222591362126247,0.3761375126390294,0.006489994591671174,equivalent_within_tolerance,distinguishable
ddt,1e-07,0.06556257274796096,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.6212624584717608,0.7574750830564784,0.3089700996677741,0.0033222591362126247,0.0033222591362126247,0.3761375126390294,0.006489994591671174,equivalent_within_tolerance,distinguishable
ddt,1e-06,0.6528758087588304,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.6578073089700996,0.7408637873754153,0.3122923588039867,0.0033222591362126247,0.0033222591362126247,0.3774468797055379,0.006489994591671174,equivalent_within_tolerance,distinguishable
ddt,1e-05,6.237556740372629,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.9767441860465116,0.6146179401993356,0.3687707641196013,0.0033222591362126247,0.0033222591362126247,0.4362921716344579,0.006489994591671174,indeterminate,distinguishable
deltamethrin,1e-08,9.288999514164995,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.9501661129568106,0.5880398671096345,0.4186046511627907,0.0033222591362126247,0.0033222591362126247,0.4917872824849569,0.006489994591671174,indeterminate,distinguishable
deltamethrin,1e-07,29.104258377410016,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,indeterminate,False,0.12624584717607973,0.08305647840531562,0.0033222591362126247,0.023255813953488372,0.0033222591362126247,0.006489994591671174,0.042467138523761376,distinguishable,distinguishable
deltamethrin,1e-06,54.14423390901861,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.012542461458061144,topology_without_weight_pairing,indeterminate,False,0.11627906976744186,0.18272425249169436,0.2823920265780731,0.006644518272425249,0.0033222591362126247,0.35968992248062015,0.012542461458061144,indeterminate,distinguishable
deltamethrin,1e-05,54.80105342774155,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.012542461458061144,topology_without_weight_pairing,indeterminate,False,0.09302325581395349,0.15282392026578073,0.2724252491694352,0.006644518272425249,0.0033222591362126247,0.35968992248062015,0.012542461458061144,indeterminate,distinguishable
diazepam,1e-08,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
diazepam,1e-07,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
diazepam,1e-06,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
diazepam,1e-05,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
dieldrin,1e-08,0.356292538854051,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.292358803986711,0.6046511627906976,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
dieldrin,1e-07,2.358455281893889,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.37209302325581395,0.7275747508305648,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
dieldrin,1e-06,5.516203307325238,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.4850498338870432,0.7973421926910299,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
