compound,conc_M,real_effect,class,necessary_level,p_sign,p_weight,p_degree,p_ER
chlorpyrifos_oxon,1e-08,41.89007154138836,topology-dependent,wiring_without_transmitter_identity,0.10891089108910891,0.009900990099009901,0.039603960396039604,0.009900990099009901
chlorpyrifos_oxon,1e-07,-4.453314692141862,composition-dominated,degree_sequence,0.27722772277227725,0.5148514851485149,0.5841584158415841,0.009900990099009901
chlorpyrifos_oxon,1e-06,-5.555436983853854,composition-dominated,degree_sequence,0.26732673267326734,0.5544554455445545,0.43564356435643564,0.009900990099009901
chlorpyrifos_oxon,1e-05,-5.549928143951719,composition-dominated,degree_sequence,0.26732673267326734,0.5544554455445545,0.43564356435643564,0.009900990099009901
clothianidin,1e-08,0.10000529217663079,composition-dominated,degree_sequence,0.48514851485148514,0.19801980198019803,0.9405940594059405,0.009900990099009901
clothianidin,1e-07,-4.773623977900712,composition-dominated,degree_sequence,0.27722772277227725,0.5247524752475248,0.5445544554455446,0.009900990099009901
clothianidin,1e-06,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
clothianidin,1e-05,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
ddt,1e-08,0.003091907228121471,composition-dominated,degree_sequence,0.3564356435643564,0.5643564356435643,0.9306930693069307,0.009900990099009901
ddt,1e-07,0.030911376259251888,composition-dominated,degree_sequence,0.3564356435643564,0.5643564356435643,0.9306930693069307,0.009900990099009901
ddt,1e-06,0.30831405448478044,composition-dominated,degree_sequence,0.36633663366336633,0.5643564356435643,0.9504950495049505,0.009900990099009901
ddt,1e-05,2.9816464493304498,composition-dominated,degree_sequence,0.5148514851485149,0.5445544554455446,0.9405940594059405,0.009900990099009901
deltamethrin,1e-08,4.40482935703646,composition-dominated,degree_sequence,0.6039603960396039,0.5346534653465347,0.9108910891089109,0.009900990099009901
deltamethrin,1e-07,24.021540644552797,composition-dominated,degree_sequence,0.5841584158415841,0.13861386138613863,0.9702970297029703,0.009900990099009901
deltamethrin,1e-06,37.15887655509541,composition-dominated,degree_sequence,0.22772277227722773,0.1188118811881188,0.2871287128712871,0.009900990099009901
deltamethrin,1e-05,38.16064501855905,composition-dominated,degree_sequence,0.21782178217821782,0.1485148514851485,0.26732673267326734,0.009900990099009901
diazepam,1e-08,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
diazepam,1e-07,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
diazepam,1e-06,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
diazepam,1e-05,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
dieldrin,1e-08,0.07085762022170528,topology-dependent,wiring_without_transmitter_identity,0.0891089108910891,0.009900990099009901,0.04950495049504951,0.009900990099009901
dieldrin,1e-07,0.4236252131450913,topology-dependent,wiring_without_transmitter_identity,0.1188118811881188,0.009900990099009901,0.04950495049504951,0.009900990099009901
dieldrin,1e-06,0.8512734176258983,topology-dependent,wiring_without_transmitter_identity,0.13861386138613863,0.009900990099009901,0.039603960396039604,0.009900990099009901
dieldrin,1e-05,0.8996076235547861,topology-dependent,wiring_without_transmitter_identity,0.12871287128712872,0.009900990099009901,0.0297029702970297,0.009900990099009901
fipronil,1e-08,0.16838507486121923,topology-dependent,wiring_without_transmitter_identity,0.1188118811881188,0.009900990099009901,0.04950495049504951,0.009900990099009901
fipronil,1e-07,0.7380224886401772,topology-dependent,wiring_without_transmitter_identity,0.13861386138613863,0.009900990099009901,0.039603960396039604,0.009900990099009901
fipronil,1e-06,0.8996076235547861,topology-dependent,wiring_without_transmitter_identity,0.12871287128712872,0.009900990099009901,0.0297029702970297,0.009900990099009901
fipronil,1e-05,0.8996076235547861,topology-dependent,wiring_without_transmitter_identity,0.12871287128712872,0.009900990099009901,0.0297029702970297,0.009900990099009901
gaba,1e-08,-8.671055358178137e-07,no-effect,none_required,0.07920792079207921,0.009900990099009901,0.0594059405940594,0.009900990099009901
gaba,1e-07,-2.741773682846116e-05,topology-dependent,degree_sequence,0.07920792079207921,0.009900990099009901,0.0594059405940594,0.009900990099009901
gaba,1e-06,-0.0008644848379635306,topology-dependent,degree_sequence,0.07920792079207921,0.009900990099009901,0.0594059405940594,0.009900990099009901
gaba,1e-05,-0.025019861031331914,topology-dependent,degree_sequence,0.07920792079207921,0.009900990099009901,0.0594059405940594,0.009900990099009901
imidacloprid,1e-08,-0.19448112604907042,composition-dominated,degree_sequence,0.43564356435643564,0.22772277227722773,0.9405940594059405,0.009900990099009901
