compound,class,conc_M,A_receptor_only,B_composition_only,C_topology_only,D_full_flylab,C_topology_only_floor,B_composition_only_alt_sign
deltamethrin,type II pyrethroid,1e-07,0.6993006993006993,11.339104944788787,5.1727214554210015,24.021540644552797,-4.565162624979351,9.87839868834541
diazepam,benzodiazepine,1e-07,0.0,0.0,0.0,0.0,0.0,0.0
dieldrin,cyclodiene organochlorine,1e-07,-0.5,5.763765541740675,3.581995353392724,0.4236252131450913,-3.284963244755702,5.763765541740675
fipronil,phenylpyrazole,1e-07,-0.8091918198317981,9.327983855609894,6.107512111326622,0.7380224886401772,-5.268790309171518,9.327983855609894
gaba,endogenous transmitter,1e-07,8.943471981546934e-05,-0.0004123846050472224,-0.0006052350437188991,-2.741773682846116e-05,-0.0006052350437188991,-0.0004123846050472224
imidacloprid,neonicotinoid,1e-07,2.852958904733035,-10.80994671403197,-6.16942921588497,-5.680388639120631,-6.16942921588497,-9.417406749555951
ivermectin,avermectin,1e-07,0.8333333333333334,0.39786856127886594,-5.423255799443355,-0.03121681365661999,-5.423255799443355,-0.5304914150384867
nicotine,alkaloid,1e-07,0.31811200018174035,-0.7536968357448401,-2.1071546515434,-0.26018164807203803,-2.1071546515434,-0.7536968357448401
nitenpyram,neonicotinoid,1e-07,0.6967304549770723,-10.80994671403197,-4.5486923560284005,-3.377888997795963,-4.5486923560284005,-9.417406749555951
permethrin,type I pyrethroid,1e-07,0.2,3.2429840142095934,1.3794979934542546,4.710059982330625,-1.3338268721244448,2.8252220248667825
picrotoxin,plant convulsant,1e-07,-0.0909090909090909,1.0479573712255768,0.6202059367630355,0.07085762022170528,-0.6108266719415321,1.0479573712255768
spinosad,spinosyn,1e-07,0.0,0.0,0.0,0.0,0.0,0.0
sulfoxaflor,sulfoximine,1e-07,0.0,0.0,0.0,0.0,0.0,0.0
thiamethoxam,neonicotinoid,1e-07,0.0009990009990009988,0.008652866785851643,0.006761194590095165,0.0030176057607382845,-0.006760063749816858,0.008652866785851643
acetamiprid,neonicotinoid,1e-06,0.973270096840775,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
acetylcholine,endogenous transmitter,1e-06,0.0593509431027676,0.39360018262419416,0.4037312084746043,0.13799221453647537,-0.3997371307719213,0.3936001826241906
caffeine,methylxanthine,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
chlordimeform,formamidine,1e-06,0.03225806451612903,0.0,0.21890590735543558,0.0,-0.21772658591980498,0.0
chlorpyrifos_oxon,organophosphate (oxon metabolite),1e-06,0.0,0.0,0.0,0.0,0.0,0.0
clothianidin,neonicotinoid,1e-06,0.9853400782049834,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
ddt,organochlorine,1e-06,0.015151515151515152,0.24568060713709272,0.10266765574594316,0.30831405448478044,-0.10240751972358098,0.2140319715808161
deltamethrin,type II pyrethroid,1e-06,0.9587727708533077,15.546423845683567,7.460714474074884,37.15887655509541,-6.16942921588497,13.543729745286598
diazepam,benzodiazepine,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
dieldrin,cyclodiene organochlorine,1e-06,-0.909090909090909,10.479573712255771,6.999949583094384,0.8512734176258983,-5.907823488940226,10.479573712255771
fipronil,phenylpyrazole,1e-06,-0.9853400782049834,10.951154529307281,7.712092780851213,0.8996076235547861,-6.16942921588497,10.951154529307281
gaba,endogenous transmitter,1e-06,0.002820449688343696,-0.013005128580712011,-0.019082583373513984,-0.0008644848379635306,-0.019082583373513984,-0.013005128580712011
imidacloprid,neonicotinoid,1e-06,2.9888577908821548,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
ivermectin,avermectin,1e-06,0.9803921568627451,0.46808066032807716,-6.16942921588497,-0.03668098746430726,-6.16942921588497,-0.6241075471040993
nicotine,alkaloid,1e-06,0.8545051332184401,-10.80994671403197,-5.5586974000953315,-5.40399067063418,-5.5586974000953315,-9.417406749555951
nitenpyram,neonicotinoid,1e-06,0.973270096840775,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
permethrin,type I pyrethroid,1e-06,0.7142857142857143,11.582085765034254,5.2975399928402975,24.820376182767554,-4.661173294012422,10.090078660238511
picrotoxin,plant convulsant,1e-06,-0.5,5.763765541740675,3.581995353392724,0.4236252131450913,-3.284963244755702,5.763765541740675
spinosad,spinosyn,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
sulfoxaflor,sulfoximine,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
thiamethoxam,neonicotinoid,1e-06,0.009900990099009901,0.08269171534919195,0.06705978169748672,0.028867082651210296,-0.06694870199260894,0.08269171534919195
acetamiprid,neonicotinoid,1e-05,0.9982701355087407,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
